clip_name,Cluster
American_Idiot_guitar.mp3_1,0
American_Idiot_guitar.mp3_2,0
American_Idiot_guitar.mp3_3,0
American_Idiot_guitar.mp3_4,0
American_Idiot_guitar.mp3_5,0
American_Idiot_guitar.mp3_6,0
angry_guitar.mp3_1,-1
angry_guitar.mp3_2,1
angry_guitar.mp3_3,0
angry_guitar.mp3_4,0
angry_guitar.mp3_5,0
angry_guitar.mp3_6,1
Back_In_The_USA_guitar.mp3_1,0
Back_In_The_USA_guitar.mp3_2,0
Back_In_The_USA_guitar.mp3_3,0
Back_In_The_USA_guitar.mp3_4,-1
Back_In_The_USA_guitar.mp3_5,0
Back_In_The_USA_guitar.mp3_6,0
Basket_Case_guitar.mp3_1,0
Basket_Case_guitar.mp3_2,0
Basket_Case_guitar.mp3_3,0
Basket_Case_guitar.mp3_4,0
Basket_Case_guitar.mp3_5,2
Basket_Case_guitar.mp3_6,2
blur2_guitar.mp3_1,0
blur2_guitar.mp3_2,0
blur2_guitar.mp3_3,3
blur2_guitar.mp3_4,0
blur2_guitar.mp3_5,-1
blur2_guitar.mp3_6,-1
brain_stew_guitar.mp3_1,0
brain_stew_guitar.mp3_2,0
brain_stew_guitar.mp3_3,0
brain_stew_guitar.mp3_4,0
brain_stew_guitar.mp3_5,0
brain_stew_guitar.mp3_6,0
burn_it_to_the_ground_guitar.mp3_1,0
burn_it_to_the_ground_guitar.mp3_2,0
burn_it_to_the_ground_guitar.mp3_3,0
burn_it_to_the_ground_guitar.mp3_4,0
burn_it_to_the_ground_guitar.mp3_5,-1
burn_it_to_the_ground_guitar.mp3_6,0
Can't_Stop_guitar.mp3_1,4
Can't_Stop_guitar.mp3_2,-1
Can't_Stop_guitar.mp3_3,3
Can't_Stop_guitar.mp3_4,4
Can't_Stop_guitar.mp3_5,-1
Can't_Stop_guitar.mp3_6,4
carnival_of_rust_guitar.mp3_1,0
carnival_of_rust_guitar.mp3_2,0
carnival_of_rust_guitar.mp3_3,-1
carnival_of_rust_guitar.mp3_4,-1
carnival_of_rust_guitar.mp3_5,0
carnival_of_rust_guitar.mp3_6,0
carry_on_my_wayward_son_guitar.mp3_1,0
carry_on_my_wayward_son_guitar.mp3_2,0
carry_on_my_wayward_son_guitar.mp3_3,0
carry_on_my_wayward_son_guitar.mp3_4,-1
carry_on_my_wayward_son_guitar.mp3_5,0
carry_on_my_wayward_son_guitar.mp3_6,-1
death_by_rocknroll_guitar.mp3_1,-1
death_by_rocknroll_guitar.mp3_2,0
death_by_rocknroll_guitar.mp3_3,0
death_by_rocknroll_guitar.mp3_4,0
death_by_rocknroll_guitar.mp3_5,0
death_by_rocknroll_guitar.mp3_6,0
desire_guitar.mp3_1,-1
desire_guitar.mp3_2,-1
desire_guitar.mp3_3,5
desire_guitar.mp3_4,-1
desire_guitar.mp3_5,5
desire_guitar.mp3_6,-1
Dirty_Deeds_Done_Dirt_Cheap_guitar.mp3_1,-1
Dirty_Deeds_Done_Dirt_Cheap_guitar.mp3_2,-1
Dirty_Deeds_Done_Dirt_Cheap_guitar.mp3_3,0
Dirty_Deeds_Done_Dirt_Cheap_guitar.mp3_4,0
Dirty_Deeds_Done_Dirt_Cheap_guitar.mp3_5,-1
Dirty_Deeds_Done_Dirt_Cheap_guitar.mp3_6,0
Don't_Stay_guitar.mp3_1,0
Don't_Stay_guitar.mp3_2,0
Don't_Stay_guitar.mp3_3,-1
Don't_Stay_guitar.mp3_4,0
Don't_Stay_guitar.mp3_5,0
Don't_Stay_guitar.mp3_6,0
Figure_09_guitar.mp3_1,0
Figure_09_guitar.mp3_2,0
Figure_09_guitar.mp3_3,0
Figure_09_guitar.mp3_4,0
Figure_09_guitar.mp3_5,0
Figure_09_guitar.mp3_6,0
Good_Riddance_guitar.mp3_1,-1
Good_Riddance_guitar.mp3_2,6
Good_Riddance_guitar.mp3_3,6
Good_Riddance_guitar.mp3_4,6
Good_Riddance_guitar.mp3_5,-1
Good_Riddance_guitar.mp3_6,-1
gravity_guitar.mp3_1,-1
gravity_guitar.mp3_2,0
gravity_guitar.mp3_3,-1
gravity_guitar.mp3_4,0
gravity_guitar.mp3_5,0
gravity_guitar.mp3_6,0
Highway_to_Hell_guitar.mp3_1,0
Highway_to_Hell_guitar.mp3_2,0
Highway_to_Hell_guitar.mp3_3,-1
Highway_to_Hell_guitar.mp3_4,0
Highway_to_Hell_guitar.mp3_5,0
Highway_to_Hell_guitar.mp3_6,-1
Holiday_guitar.mp3_1,-1
Holiday_guitar.mp3_2,0
Holiday_guitar.mp3_3,0
Holiday_guitar.mp3_4,0
Holiday_guitar.mp3_5,0
Holiday_guitar.mp3_6,0
Hysteria_guitar.mp3_1,0
Hysteria_guitar.mp3_2,-1
Hysteria_guitar.mp3_3,0
Hysteria_guitar.mp3_4,0
Hysteria_guitar.mp3_5,0
Hysteria_guitar.mp3_6,0
It's_A_Long_Way_To_The_Top_guitar.mp3_1,0
It's_A_Long_Way_To_The_Top_guitar.mp3_2,0
It's_A_Long_Way_To_The_Top_guitar.mp3_3,0
It's_A_Long_Way_To_The_Top_guitar.mp3_4,0
It's_A_Long_Way_To_The_Top_guitar.mp3_5,0
It's_A_Long_Way_To_The_Top_guitar.mp3_6,0
its_my_life_guitar.mp3_1,0
its_my_life_guitar.mp3_2,-1
its_my_life_guitar.mp3_3,-1
its_my_life_guitar.mp3_4,-1
its_my_life_guitar.mp3_5,0
its_my_life_guitar.mp3_6,0
Jesus_Of_Suburbia_guitar.mp3_1,-1
Jesus_Of_Suburbia_guitar.mp3_2,0
Jesus_Of_Suburbia_guitar.mp3_3,0
Jesus_Of_Suburbia_guitar.mp3_4,0
Jesus_Of_Suburbia_guitar.mp3_5,0
Jesus_Of_Suburbia_guitar.mp3_6,-1
kill_the_dj_guitar.mp3_1,0
kill_the_dj_guitar.mp3_2,0
kill_the_dj_guitar.mp3_3,0
kill_the_dj_guitar.mp3_4,0
kill_the_dj_guitar.mp3_5,-1
kill_the_dj_guitar.mp3_6,0
last_resort_guitar.mp3_1,0
last_resort_guitar.mp3_2,0
last_resort_guitar.mp3_3,0
last_resort_guitar.mp3_4,0
last_resort_guitar.mp3_5,0
last_resort_guitar.mp3_6,0
master_of_puppets_guitar.mp3_1,-1
master_of_puppets_guitar.mp3_2,-1
master_of_puppets_guitar.mp3_3,0
master_of_puppets_guitar.mp3_4,-1
master_of_puppets_guitar.mp3_5,-1
master_of_puppets_guitar.mp3_6,-1
meant_to_live_guitar.mp3_1,-1
meant_to_live_guitar.mp3_2,7
meant_to_live_guitar.mp3_3,0
meant_to_live_guitar.mp3_4,0
meant_to_live_guitar.mp3_5,0
meant_to_live_guitar.mp3_6,0
nothing_else_matters_guitar.mp3_1,0
nothing_else_matters_guitar.mp3_2,8
nothing_else_matters_guitar.mp3_3,-1
nothing_else_matters_guitar.mp3_4,-1
nothing_else_matters_guitar.mp3_5,8
nothing_else_matters_guitar.mp3_6,-1
No_More_Sorrow_guitar.mp3_1,0
No_More_Sorrow_guitar.mp3_2,9
No_More_Sorrow_guitar.mp3_3,-1
No_More_Sorrow_guitar.mp3_4,0
No_More_Sorrow_guitar.mp3_5,0
No_More_Sorrow_guitar.mp3_6,9
Oh_Love_guitar.mp3_1,-1
Oh_Love_guitar.mp3_2,-1
Oh_Love_guitar.mp3_3,0
Oh_Love_guitar.mp3_4,0
Oh_Love_guitar.mp3_5,-1
Oh_Love_guitar.mp3_6,3
paradise_city_guitar.mp3_1,0
paradise_city_guitar.mp3_2,0
paradise_city_guitar.mp3_3,-1
paradise_city_guitar.mp3_4,-1
paradise_city_guitar.mp3_5,0
paradise_city_guitar.mp3_6,0
Points_Of_Authority_guitar.mp3_1,0
Points_Of_Authority_guitar.mp3_2,0
Points_Of_Authority_guitar.mp3_3,0
Points_Of_Authority_guitar.mp3_4,0
Points_Of_Authority_guitar.mp3_5,0
Points_Of_Authority_guitar.mp3_6,0
Psycho_guitar.mp3_1,0
Psycho_guitar.mp3_2,10
Psycho_guitar.mp3_3,0
Psycho_guitar.mp3_4,10
Psycho_guitar.mp3_5,0
Psycho_guitar.mp3_6,-1
r_u_mine_guitar.mp3_1,-1
r_u_mine_guitar.mp3_2,-1
r_u_mine_guitar.mp3_3,0
r_u_mine_guitar.mp3_4,-1
r_u_mine_guitar.mp3_5,0
r_u_mine_guitar.mp3_6,-1
sleeping_awake_guitar.mp3_1,-1
sleeping_awake_guitar.mp3_2,0
sleeping_awake_guitar.mp3_3,0
sleeping_awake_guitar.mp3_4,0
sleeping_awake_guitar.mp3_5,0
sleeping_awake_guitar.mp3_6,0
smells_like_teen_spirit_guitar.mp3_1,0
smells_like_teen_spirit_guitar.mp3_2,0
smells_like_teen_spirit_guitar.mp3_3,0
smells_like_teen_spirit_guitar.mp3_4,0
smells_like_teen_spirit_guitar.mp3_5,0
smells_like_teen_spirit_guitar.mp3_6,0
Snow_guitar.mp3_1,8
Snow_guitar.mp3_2,-1
Snow_guitar.mp3_3,8
Snow_guitar.mp3_4,0
Snow_guitar.mp3_5,0
Snow_guitar.mp3_6,8
Somewhere_I_Belong_guitar.mp3_1,0
Somewhere_I_Belong_guitar.mp3_2,0
Somewhere_I_Belong_guitar.mp3_3,-1
Somewhere_I_Belong_guitar.mp3_4,-1
Somewhere_I_Belong_guitar.mp3_5,0
Somewhere_I_Belong_guitar.mp3_6,-1
stairway_to_heaven_guitar.mp3_1,8
stairway_to_heaven_guitar.mp3_2,0
stairway_to_heaven_guitar.mp3_3,8
stairway_to_heaven_guitar.mp3_4,-1
stairway_to_heaven_guitar.mp3_5,8
stairway_to_heaven_guitar.mp3_6,-1
Stockholm_Syndrome_guitar.mp3_1,0
Stockholm_Syndrome_guitar.mp3_2,0
Stockholm_Syndrome_guitar.mp3_3,0
Stockholm_Syndrome_guitar.mp3_4,0
Stockholm_Syndrome_guitar.mp3_5,0
Stockholm_Syndrome_guitar.mp3_6,0
SupermassiveBlackHole_guitar.mp3_1,0
SupermassiveBlackHole_guitar.mp3_2,0
SupermassiveBlackHole_guitar.mp3_3,-1
SupermassiveBlackHole_guitar.mp3_4,0
SupermassiveBlackHole_guitar.mp3_5,0
SupermassiveBlackHole_guitar.mp3_6,0
Supremacy_guitar.mp3_1,-1
Supremacy_guitar.mp3_2,-1
Supremacy_guitar.mp3_3,-1
Supremacy_guitar.mp3_4,11
Supremacy_guitar.mp3_5,-1
Supremacy_guitar.mp3_6,11
sweet_child_of_mine_guitar.mp3_1,12
sweet_child_of_mine_guitar.mp3_2,-1
sweet_child_of_mine_guitar.mp3_3,-1
sweet_child_of_mine_guitar.mp3_4,12
sweet_child_of_mine_guitar.mp3_5,-1
sweet_child_of_mine_guitar.mp3_6,-1
Time_Is_Running_Out_guitar.mp3_1,-1
Time_Is_Running_Out_guitar.mp3_2,0
Time_Is_Running_Out_guitar.mp3_3,-1
Time_Is_Running_Out_guitar.mp3_4,7
Time_Is_Running_Out_guitar.mp3_5,0
Time_Is_Running_Out_guitar.mp3_6,0
When_I_Come_Around_guitar.mp3_1,-1
When_I_Come_Around_guitar.mp3_2,0
When_I_Come_Around_guitar.mp3_3,0
When_I_Come_Around_guitar.mp3_4,10
When_I_Come_Around_guitar.mp3_5,0
When_I_Come_Around_guitar.mp3_6,0
wonderwall_guitar.mp3_1,-1
wonderwall_guitar.mp3_2,0
wonderwall_guitar.mp3_3,8
wonderwall_guitar.mp3_4,0
wonderwall_guitar.mp3_5,0
wonderwall_guitar.mp3_6,0
You_Shook_Me_All_Night_Long_guitar.mp3_1,0
You_Shook_Me_All_Night_Long_guitar.mp3_2,0
You_Shook_Me_All_Night_Long_guitar.mp3_3,0
You_Shook_Me_All_Night_Long_guitar.mp3_4,0
You_Shook_Me_All_Night_Long_guitar.mp3_5,0
You_Shook_Me_All_Night_Long_guitar.mp3_6,0
Zombie_guitar.mp3_1,0
Zombie_guitar.mp3_2,0
Zombie_guitar.mp3_3,0
Zombie_guitar.mp3_4,0
Zombie_guitar.mp3_5,-1
Zombie_guitar.mp3_6,0
